Event,Country,First Run,Next Anniversary,Anniversary Number
Whalan Reserve parkrun,Australia,17/04/2021,20/04/2024,3
Wynyard Woodland parkrun,United Kingdom,15/04/2023,20/04/2024,1
Amager Strandpark parkrun,Denmark,28/04/2012,27/04/2024,12
Aplins Weir parkrun,Australia,28/04/2018,27/04/2024,6
Ararat parkrun,Australia,22/04/2017,27/04/2024,7
Ashton Court parkrun,United Kingdom,23/04/2011,27/04/2024,13
Avondale Forest parkrun,Ireland,28/04/2018,27/04/2024,6
Bellerive parkrun,Australia,28/04/2018,27/04/2024,6
Caledon Golf Course parkrun,South Africa,22/04/2023,27/04/2024,1
Catford parkrun,United Kingdom,28/04/2018,27/04/2024,6
Chadderton Hall parkrun,United Kingdom,23/04/2016,27/04/2024,8
Clare Valley parkrun,Australia,23/04/2016,27/04/2024,8
Clermont Waterfront parkrun,United States,27/04/2013,27/04/2024,11
Eagan parkrun,United States,22/04/2017,27/04/2024,7
Edenbrook Country parkrun,United Kingdom,23/04/2022,27/04/2024,2
Emerald parkrun,Australia,29/04/2017,27/04/2024,7
Forest of Dean parkrun,United Kingdom,24/04/2010,27/04/2024,14
Gilloolys parkrun,South Africa,23/04/2016,27/04/2024,8
Ginninderra parkrun,Australia,28/04/2012,27/04/2024,12
Glass House Mountains Conservation parkrun,Australia,27/04/2019,27/04/2024,5
Goolwa parkrun,Australia,28/04/2018,27/04/2024,6
Gorleston Cliffs parkrun,United Kingdom,25/04/2009,27/04/2024,15
"Grand Ridge Rail Trail parkrun, Mirboo North",Australia,27/04/2019,27/04/2024,5
Hartlepool parkrun,United Kingdom,26/04/2014,27/04/2024,10
Havelkanal parkrun,Germany,22/04/2023,27/04/2024,1
Joe Creason parkrun,United States,28/04/2018,27/04/2024,6
Killerton parkrun,United Kingdom,30/04/2011,27/04/2024,13
Kingdom parkrun,United Kingdom,27/04/2019,27/04/2024,5
Kroonstad parkrun,South Africa,22/04/2017,27/04/2024,7
Kununurra parkrun,Australia,28/04/2018,27/04/2024,6
Lake Claremont parkrun,Australia,23/04/2022,27/04/2024,2
Leamington parkrun,United Kingdom,23/04/2011,27/04/2024,13
Leeton Sport and Recreation Precinct parkrun,Australia,24/04/2021,27/04/2024,3
Lillydale Lake parkrun,Australia,26/04/2014,27/04/2024,10
Listowel parkrun,Ireland,22/04/2017,27/04/2024,7
Lonehill parkrun,South Africa,26/04/2014,27/04/2024,10
Macclesfield parkrun,United Kingdom,28/04/2018,27/04/2024,6
Margate parkrun,United Kingdom,27/04/2013,27/04/2024,11
Markeaton parkrun,United Kingdom,27/04/2013,27/04/2024,11
Market Harborough parkrun,United Kingdom,25/04/2015,27/04/2024,9
Merthyr parkrun,United Kingdom,22/04/2017,27/04/2024,7
Middleton Woods parkrun,United Kingdom,28/04/2018,27/04/2024,6
Mobilong parkrun,Australia,27/04/2019,27/04/2024,5
Moreletapark Gemeente parkrun,South Africa,29/04/2023,27/04/2024,1
Mount Ainslie parkrun,Australia,28/04/2018,27/04/2024,6
Mullingar parkrun,Ireland,23/04/2016,27/04/2024,8
Newcastle West parkrun,Ireland,23/04/2016,27/04/2024,8
Ocean Grove parkrun,Australia,28/04/2018,27/04/2024,6
Ovens River Trail parkrun,Australia,24/04/2021,27/04/2024,3
parkrun Białystok,Poland,30/04/2016,27/04/2024,8
parkrun de la Ramée,France,30/04/2016,27/04/2024,8
Parkville parkrun,Australia,30/04/2016,27/04/2024,8
Picton parkrun,Australia,28/04/2018,27/04/2024,6
Portsmouth Lakeside parkrun,United Kingdom,30/04/2016,27/04/2024,8
Queanbeyan parkrun,Australia,29/04/2017,27/04/2024,7
Redcar parkrun,United Kingdom,28/04/2012,27/04/2024,12
Rockingham parkrun,Australia,27/04/2013,27/04/2024,11
Roodepoort parkrun,South Africa,28/04/2012,27/04/2024,12
Roundhay parkrun,United Kingdom,23/04/2011,27/04/2024,13
Royal Tunbridge Wells parkrun,United Kingdom,26/04/2014,27/04/2024,10
Shepton Mallet parkrun,United Kingdom,29/04/2017,27/04/2024,7
Snowden Field parkrun,United Kingdom,27/04/2019,27/04/2024,5
Stones Corner parkrun,Australia,26/04/2014,27/04/2024,10
