"","short","countrycode","shortjunior","jpage","dist","match"
"1","Forest of Dean",97,"Forest of Dean juniors",13.1964407939767,0,"Perfect"
"2","Felixstowe",97,"Felixstowe Prom juniors",4.6652977412731,1.29075265538357,"Partial"
"3","Penallta",97,"Penallta juniors",7.44421629021218,1.73384343731665,"Perfect"
"4","Clacton Seafront",97,"Clacton juniors",5.98767967145791,2.12614098600541,"Partial"
"5","Thurso",97,"Millbank Boating Pond juniors",1.637234770705,3.12888938114972,"Different"
"6","Harcourt Hill",97,"Harcourt Hill juniors",6.48596851471595,3.16535422961878,"Perfect"
"7","Barnsley",97,"Barnsley juniors",9.34154688569473,3.83858255041939,"Perfect"
"8","Evesham",97,"Evesham juniors",6.6009582477755,5.40206306684337,"Perfect"
"9","Lordship Recreation Ground",97,"Lordship Rec Ground juniors",0.736481861738535,5.54933783265884,"Partial"
"10","Omagh",97,"Omagh Leisure Complex juniors",0.238193018480493,6.84679800507325,"Partial"
"11","Crystal Palace",97,"Crystal Palace juniors",6.88843258042437,7.6005377205735,"Perfect"
"12","Gedling",97,"Gedling juniors",8,8.47805914469481,"Perfect"
"13","Shepton Mallet",97,"Collett Park juniors",4.99110198494182,9.66894926044849,"Different"
"14","Melksham",97,"King George V juniors",4.37782340862423,10.5083157946568,"Different"
"15","Wilmslow",97,"Wilmslow juniors",8.65160848733744,10.6028370548453,"Perfect"
"16","Roding Valley",97,"Roding Valley juniors",5.48939082819986,10.813041909258,"Perfect"
"17","Rushmoor",97,"Queens Parade juniors, Aldershot",NA,13.4832147520094,"Different"
"18","Torbay Velopark",97,"Torbay Velopark juniors",5.43189596167009,13.6172258920864,"Perfect"
"19","Moors Valley",97,"Moors Valley juniors",7.40588637919233,15.0002590879398,"Perfect"
"20","Newark",97,"Newark juniors",5.91101984941821,16.8706380292173,"Perfect"
"21","Houghton Hall",97,"Houghton Hall juniors",6.50513347022587,16.9745071208759,"Perfect"
"22","Kettering",97,"Wicksteed juniors",4.41615331964408,19.418762922086,"Different"
"23","Ormeau",97,"Ormeau juniors",7.90417522245038,19.9922948003173,"Perfect"
