Event,Country,First Run,Next Anniversary,Anniversary Number
Collett Park junior parkrun,United Kingdom,14/04/2019,14/04/2024,5
Faversham Recreation Ground junior parkrun,United Kingdom,11/04/2021,14/04/2024,3
Gedling junior parkrun,United Kingdom,10/04/2016,14/04/2024,8
Gorleston junior parkrun,United Kingdom,10/04/2016,14/04/2024,8
Lesnes Abbey Woods junior parkrun,United Kingdom,12/04/2015,14/04/2024,9
Millennium Green junior parkrun,United Kingdom,11/04/2021,14/04/2024,3
Osterley junior parkrun,United Kingdom,09/04/2017,14/04/2024,7
Widnes junior parkrun,United Kingdom,09/04/2017,14/04/2024,7
Clacton junior parkrun,United Kingdom,15/04/2018,21/04/2024,6
Desborough Green Space junior parkrun,United Kingdom,21/04/2019,21/04/2024,5
Helix junior parkrun,United Kingdom,20/04/2014,21/04/2024,10
Northampton Racecourse junior parkrun,United Kingdom,18/04/2021,21/04/2024,3
Peacehaven junior parkrun,United Kingdom,16/04/2017,21/04/2024,7
Tolson junior parkrun,United Kingdom,17/04/2016,21/04/2024,8
Waterworks junior parkrun,United Kingdom,17/04/2016,21/04/2024,8
Weymouth junior parkrun,United Kingdom,16/04/2017,21/04/2024,7
Balbriggan junior parkrun,Ireland,23/04/2017,28/04/2024,7
Burnham Riverside junior parkrun,United Kingdom,24/04/2022,28/04/2024,2
Cottenham Recreation Ground junior parkrun,United Kingdom,24/04/2022,28/04/2024,2
Cranbrook Country Park junior parkrun,United Kingdom,28/04/2019,28/04/2024,5
Friary Park junior parkrun,United Kingdom,29/04/2018,28/04/2024,6
Hutton Recreation Ground junior parkrun,United Kingdom,23/04/2023,28/04/2024,1
Inverleith junior parkrun,United Kingdom,30/04/2017,28/04/2024,7
"King GeorgeV Playing Field junior parkrun, MillEnd",United Kingdom,23/04/2023,28/04/2024,1
Park Hill Recreation Ground junior parkrun,United Kingdom,30/04/2023,28/04/2024,1
Perth junior parkrun,United Kingdom,24/04/2016,28/04/2024,8
Peter Pan junior parkrun,United Kingdom,30/04/2017,28/04/2024,7
Salisbury Field junior parkrun,United Kingdom,23/04/2023,28/04/2024,1
The Old Rail Trail junior parkrun,Ireland,23/04/2023,28/04/2024,1
Verulamium junior parkrun,United Kingdom,28/04/2019,28/04/2024,5
Wakefield Thornes junior parkrun,United Kingdom,29/04/2018,28/04/2024,6
Aberystwyth junior parkrun,United Kingdom,03/05/2015,05/05/2024,9
Chelmsford junior parkrun,United Kingdom,04/05/2014,05/05/2024,10
Daventry Country Park junior parkrun,United Kingdom,01/05/2022,05/05/2024,2
GEC Rec junior parkrun,United Kingdom,05/05/2019,05/05/2024,5
Hogmoor Inclosure junior parkrun,United Kingdom,05/05/2019,05/05/2024,5
Leigh junior parkrun,United Kingdom,05/05/2019,05/05/2024,5
Comber junior parkrun,United Kingdom,14/05/2017,12/05/2024,7
Hilly Fields junior parkrun,United Kingdom,10/05/2015,12/05/2024,9
Lydiard junior parkrun,United Kingdom,10/05/2015,12/05/2024,9
Marple junior parkrun,United Kingdom,11/05/2014,12/05/2024,10
Netley Abbey junior parkrun,United Kingdom,14/05/2017,12/05/2024,7
Newark junior parkrun,United Kingdom,13/05/2018,12/05/2024,6
Pontypridd junior parkrun,United Kingdom,13/05/2018,12/05/2024,6
"Preston Park junior parkrun, Brighton",United Kingdom,10/05/2015,12/05/2024,9
"Queens Park junior parkrun, Crewe",United Kingdom,09/05/2021,12/05/2024,3
Rogiet junior parkrun,United Kingdom,09/05/2021,12/05/2024,3
Uppermill junior parkrun,United Kingdom,13/05/2018,12/05/2024,6
Bloxwich junior parkrun,United Kingdom,21/05/2017,19/05/2024,7
Brockwell junior parkrun,United Kingdom,18/05/2014,19/05/2024,10
Crystal Palace junior parkrun,United Kingdom,21/05/2017,19/05/2024,7
Dinton Pastures junior parkrun,United Kingdom,21/05/2023,19/05/2024,1
Huddersfield junior parkrun,United Kingdom,18/05/2014,19/05/2024,10
Mile End junior parkrun,United Kingdom,18/05/2014,19/05/2024,10
New Milton junior parkrun,United Kingdom,20/05/2018,19/05/2024,6
Northallerton junior parkrun,United Kingdom,20/05/2018,19/05/2024,6
Ormeau junior parkrun,United Kingdom,15/05/2016,19/05/2024,8
Spencer Park junior parkrun,United Kingdom,16/05/2021,19/05/2024,3
Stowmarket Recreation Ground junior parkrun,United Kingdom,15/05/2022,19/05/2024,2
"Victoria junior parkrun, St Helens",United Kingdom,16/05/2021,19/05/2024,3
Barnstaple junior parkrun,United Kingdom,27/05/2018,26/05/2024,6
Betteshanger junior parkrun,United Kingdom,29/05/2016,26/05/2024,8
Bromley junior parkrun,United Kingdom,31/05/2015,26/05/2024,9
Calne Recreation Ground junior parkrun,United Kingdom,29/05/2022,26/05/2024,2
Carmarthen junior parkrun,United Kingdom,22/05/2016,26/05/2024,8
Cobh junior parkrun,Ireland,27/05/2018,26/05/2024,6
Community Park junior parkrun,United Kingdom,29/05/2022,26/05/2024,2
Dartford junior parkrun,United Kingdom,22/05/2016,26/05/2024,8
Great Cornard junior parkrun,United Kingdom,29/05/2016,26/05/2024,8
Hanworth junior parkrun,United Kingdom,29/05/2016,26/05/2024,8
Hereford Leisure Centre junior parkrun,United Kingdom,29/05/2022,26/05/2024,2
Killarney House junior parkrun,Ireland,29/05/2022,26/05/2024,2
Longrun Meadow junior parkrun,United Kingdom,24/05/2015,26/05/2024,9
Lusk Sports Hub junior parkrun,Ireland,22/05/2022,26/05/2024,2
Slades junior parkrun,United Kingdom,23/05/2021,26/05/2024,3
Stevenage junior parkrun,United Kingdom,28/05/2017,26/05/2024,7
Torvean junior parkrun,United Kingdom,22/05/2022,26/05/2024,2
Westerfolds junior parkrun,Australia,27/05/2018,26/05/2024,6
Weston-super-Mare junior parkrun,United Kingdom,22/05/2016,26/05/2024,8
Wisbech junior parkrun,United Kingdom,27/05/2018,26/05/2024,6
Albert College junior parkrun,Ireland,05/06/2016,02/06/2024,8
Barking junior parkrun,United Kingdom,04/06/2023,02/06/2024,1
Brayton Academy junior parkrun,United Kingdom,06/06/2021,02/06/2024,3
Cotlands Park junior parkrun,United Kingdom,05/06/2022,02/06/2024,2
"Queen’s Park junior parkrun, Rochdale",United Kingdom,04/06/2017,02/06/2024,7
Stokes Bay junior parkrun,United Kingdom,04/06/2017,02/06/2024,7
"The Mystery junior parkrun, Wavertree",United Kingdom,02/06/2019,02/06/2024,5
Woking junior parkrun,United Kingdom,04/06/2017,02/06/2024,7
Wotton Community PARC junior parkrun,United Kingdom,06/06/2021,02/06/2024,3
"Alexandra junior parkrun, Oldham",United Kingdom,12/06/2016,09/06/2024,8
Carlisle junior parkrun,United Kingdom,12/06/2016,09/06/2024,8
Dewsbury junior parkrun,United Kingdom,14/06/2015,09/06/2024,9
Horsforth Hall junior parkrun,United Kingdom,12/06/2022,09/06/2024,2
Jubilee junior parkrun,United Kingdom,11/06/2017,09/06/2024,7
Longford junior parkrun,Ireland,11/06/2017,09/06/2024,7
MacRosty junior parkrun,United Kingdom,09/06/2019,09/06/2024,5
Mallow Castle junior parkrun,Ireland,11/06/2023,09/06/2024,1
Pontefract junior parkrun,United Kingdom,10/06/2018,09/06/2024,6
"Riverside junior parkrun, St Neots",United Kingdom,09/06/2019,09/06/2024,5
Shelley junior parkrun,United Kingdom,10/06/2018,09/06/2024,6
The Station Yard junior parkrun,United Kingdom,13/06/2021,09/06/2024,3
Alyn Waters junior parkrun,United Kingdom,17/06/2018,16/06/2024,6
Colchester junior parkrun,United Kingdom,19/06/2016,16/06/2024,8
Hoblingwell junior parkrun,United Kingdom,16/06/2019,16/06/2024,5
Milton Keynes junior parkrun,United Kingdom,21/06/2015,16/06/2024,9
Northala Fields junior parkrun,United Kingdom,16/06/2019,16/06/2024,5
Norton Common junior parkrun,United Kingdom,18/06/2023,16/06/2024,1
Ockwells junior parkrun,United Kingdom,17/06/2018,16/06/2024,6
