"","Team","Name","short"
"1","AFC Wimbledon","Plough Lane","Tooting Common"
"2","Accrington Stanley","Crown Ground","Hyndburn"
"3","Arsenal","Emirates Stadium","Highbury Fields"
"4","Aston Villa","Villa Park","Perry Hall"
"5","Barnsley","Oakwell","Barnsley"
"6","Barrow","Holker Street","Barrow"
"7","Birmingham City","St Andrews","Cannon Hill"
"8","Blackburn Rovers","Ewood Park","Witton"
"9","Blackpool","Bloomfield Road","Blackpool"
"10","Bolton Wanderers","Toughsheet Stadium","Haigh Woodland"
"11","Bournemouth","Seward Stadium","Bournemouth"
"12","Bradford City","Valley Parade","Lister Park, Bradford"
"13","Brentford","Griffin Park","Gunnersbury"
"14","Brighton and Hove Albion","Amex Stadium","Bevendean Down"
"15","Bristol City","Ashton Gate","Ashton Court"
"16","Bristol Rovers","Memorial Stadium","Eastville"
"17","Burnley","Turf Moor","Burnley"
"18","Burton Albion","Pirelli Stadium","Rosliston"
"19","Cambridge United","Abbey Stadium","Coldhams Common"
"20","Cardiff City","Cardiff City Stadium","Trelai Park"
"21","Carlisle United","Brunton Park","Carlisle"
"22","Charlton Athletic","The Valley","Charlton"
"23","Chelsea","Stamford Bridge","Fulham Palace"
"24","Cheltenham Town","Whaddon Road","Cheltenham"
"25","Colchester United","Weston Homes Community Stadium","Highwoods"
"26","Coventry City","Ricoh Arena","Holbrooks"
"27","Crawley Town","Broadfield Stadium","Tilgate"
"28","Crewe Alexandra","Alexandra Stadium","Crewe"
"29","Crystal Palace","Selhurst Park","South Norwood"
"30","Derby County","Pride Park","Alvaston"
"31","Doncaster Rovers","Keepmoat Stadium","Sandall Park"
"32","Everton","Goodison Park","Croxteth Hall"
"33","Exeter City","St James Park, Exeter","Exeter Riverside"
"34","Fleetwood Town","Highbury Stadium","Fleetwood Promenade"
"35","Forest Green Rovers","New Lawn","Stratford Park, Stroud"
"36","Fulham","Craven Cottage","Fulham Palace"
"37","Gillingham","Priestfield Stadium","Great Lines"
"38","Grimsby Town","Blundell Park","Hull"
"39","Harrogate Town","Wetherby Road","Harrogate"
"40","Huddersfield Town","The Galpharm Stadium","Huddersfield"
"41","Hull City","KC Stadium","Peter Pan"
"42","Ipswich Town","Portman Road","Ipswich"
"43","Leeds United","Elland Road","Cross Flatts"
"44","Leicester City","King Power Stadium","Leicester Victoria"
"45","Leyton Orient","Brisbane Road","Hackney Marshes"
"46","Lincoln City","Sincil Bank","Lincoln"
"47","Liverpool","Anfield","Croxteth Hall"
"48","Luton Town","Kenilworth Road","Luton Wardown"
"49","MK Dons","Stadiummk","Milton Keynes"
"50","Manchester City","Etihad Stadium","Philips Park"
"51","Manchester United","Old Trafford","Stretford"
"52","Mansfield Town","Field Mill","Mansfield"
"53","Middlesbrough","Riverside","Albert"
"54","Millwall","The Den","Southwark"
"55","Morecambe","Globe Arena","Morecambe Prom"
"56","Newcastle United","St James Park","Leazes"
"57","Newport County","Rodney Parade","Riverfront"
"58","Northampton Town","Sixfields Stadium","Sixfields Upton"
"59","Norwich City","Carrow Road","Norwich"
"60","Nottingham Forest","The City Ground","Colwick"
"61","Notts County","Meadow Lane","Colwick"
"62","Oxford United","Kassam Stadium ","Horspath"
"63","Peterborough United","London Road","Ferry Meadows"
"64","Plymouth Argyle","Home Park","Central, Plymouth"
"65","Port Vale","Vale Park","Hanley"
"66","Portsmouth","Fratton Park","Great Salterns"
"67","Preston North End","Deepdale","Preston"
"68","Queens Park Rangers","Loftus Road","Wormwood Scrubs"
"69","Reading","Madjeski Stadium","Prospect"
"70","Rotherham United","New York Stadium","Rotherham"
"71","Salford City","Moor Lane","Heaton Park"
"72","Sheffield United","Bramall Lane","Sheffield Castle"
"73","Sheffield Wednesday","Hillsborough","Hillsborough"
"74","Shrewsbury Town","New Meadow","Shrewsbury"
"75","Southampton","St Mary's Stadium","Southampton"
"76","Stevenage Borough","The Lamex Stadium","Stevenage"
"77","Stockport County","Edgeley Park","Woodbank"
"78","Stoke City","Britannia Stadium","Hanley"
"79","Sunderland","Stadium of Light","Silksworth"
"80","Sutton United","Gander Green Lane","Boston"
"81","Swansea City","Liberty Stadium","Swansea Bay"
"82","Swindon Town","The County Ground","Seven Fields"
"83","Tottenham Hotspur","Tottenham Hotspur Stadium","Pymmes"
"84","Tranmere Rovers","Prenton Park","Birkenhead"
"85","Walsall","Bescot Stadium","Walsall Arboretum"
"86","Watford","Vicarage Road","Cassiobury"
"87","West Bromwich Albion","The Hawthorns","Sandwell Valley"
"88","West Ham United","London Stadium","Hackney Marshes"
"89","Wigan Athletic","DW Stadium","Haigh Woodland"
"90","Wolverhampton Wanderers","Molineux","Wolverhampton"
"91","Wrexham","Racecource Ground","Erddig"
"92","Wycombe Wanderers","Adams Park","Wycombe Rye"
